breed,age,weight,color,gender,purchase_date
Bengal,8,3,Red,Female,2013-6-15
Chartreux,15,2,Calico,Male,2016-2-27
Sphynx,8,8,Calico,Male,2010-2-20
British Shorthair,3,5,Tricolor,Male,2021-4-9
Birman,17,7,Pointed,Female,2013-9-23
Balinese,16,7,Tricolor,Female,2018-7-5
Himalayan,16,9,Orange,Male,2012-10-11
Norwegian Forest,19,2,Brown,Female,2011-11-26
Bengal,12,2,Tricolor,Male,2019-12-13
Oriental,15,5,Tabby,Female,2020-5-11
Scottish Fold,8,5,Tricolor,Male,2021-4-25
Singapura,3,6,Calico,Male,2012-4-14
Burmese,18,4,Bicolor,Female,2011-7-8
Maine Coon,4,8,Black,Female,2022-2-6
Maine Coon,8,7,Tricolor,Female,2015-4-17
Abyssinian,14,3,Pointed,Female,2022-3-1
Oriental,17,4,Gray,Female,2024-11-9
Manx,6,7,Black,Male,2021-11-13
Ragdoll,5,8,Cream,Female,2012-5-20
British Shorthair,14,7,Red,Female,2024-10-22
Cornish Rex,6,8,Red,Female,2025-1-26
Savannah,12,3,Sable,Female,2019-7-14
Turkish Angora,9,3,Orange,Male,2014-8-15
American Shorthair,1,8,Tricolor,Male,2020-5-26
Ocicat,18,6,Sable,Female,2023-7-1
Persian,6,8,Calico,Female,2016-1-6
Turkish Angora,5,4,Brown,Male,2010-8-18
Ragdoll,2,5,Tricolor,Male,2025-4-8
Chartreux,6,2,Tabby,Male,2019-11-20
Russian Blue,17,7,Cream,Male,2016-8-26
Manx,7,6,Sable,Male,2015-10-22
Scottish Fold,9,6,Sable,Male,2023-12-6
Balinese,5,6,White,Female,2021-11-1
Savannah,11,9,Red,Female,2011-6-13
Bengal,11,5,Tortoiseshell,Female,2016-3-9
British Shorthair,4,7,Red,Male,2011-12-19
Bengal,6,8,White,Female,2019-4-2
Norwegian Forest,10,2,Cream,Female,2020-3-25
Balinese,9,3,Black,Female,2024-3-4
Ragdoll,18,7,Red,Male,2021-2-5
Russian Blue,9,5,Tortoiseshell,Male,2015-1-11
Bengal,11,4,Calico,Male,2018-4-8
Balinese,2,4,Orange,Female,2020-2-3
Birman,15,5,Cream,Male,2012-1-8
Turkish Angora,6,6,Brown,Female,2012-4-24
Norwegian Forest,17,5,Black,Female,2014-6-16
Balinese,4,7,Tortoiseshell,Female,2010-12-19
Ragdoll,8,9,Calico,Male,2010-11-1
Singapura,2,8,Blue,Male,2015-2-17
Cornish Rex,9,2,Tricolor,Female,2021-12-28
Norwegian Forest,1,7,Cream,Female,2015-3-14
Siberian,6,3,Gray,Female,2010-2-1
Chartreux,16,8,Calico,Female,2014-4-11
Chartreux,7,9,Bicolor,Male,2011-3-13
Devon Rex,16,3,Pointed,Male,2022-3-24
Himalayan,6,9,Sable,Female,2022-2-26
Sphynx,10,3,Tabby,Male,2010-1-23
Oriental,18,8,Tortoiseshell,Female,2011-3-1
Ragdoll,17,7,Black,Male,2012-1-22
Persian,17,3,Bicolor,Female,2012-8-14
Sphynx,12,6,Red,Female,2022-1-18
Persian,15,7,Pointed,Female,2017-12-26
Himalayan,6,8,Brown,Female,2013-1-2
American Shorthair,16,7,Bicolor,Male,2015-1-15
Bengal,14,4,Calico,Male,2010-9-16
Siamese,12,9,Red,Female,2015-12-7
Devon Rex,12,4,Blue,Male,2023-5-12
Exotic Shorthair,2,5,Black,Female,2013-2-25
Ragdoll,8,3,Cream,Male,2011-2-18
Siamese,17,4,Tortoiseshell,Female,2011-4-30
Scottish Fold,8,2,Brown,Male,2024-6-22
Siberian,16,8,Bicolor,Female,2015-7-17
Devon Rex,1,5,Blue,Female,2023-6-23
Abyssinian,5,9,Tortoiseshell,Female,2018-9-25
Chartreux,19,6,Calico,Female,2011-12-20
Oriental,3,4,Orange,Female,2023-5-20
Persian,9,3,Black,Male,2019-3-14
Scottish Fold,11,8,Gray,Male,2014-7-25
American Shorthair,6,8,Bicolor,Female,2015-11-22
Savannah,7,8,Orange,Female,2016-5-9
Singapura,7,6,Pointed,Male,2012-9-6
Cornish Rex,5,2,White,Female,2020-1-12
Ocicat,2,2,Calico,Female,2011-9-4
Siamese,5,2,Brown,Female,2018-3-5
Manx,6,6,Calico,Female,2020-11-26
Siamese,6,7,Tabby,Female,2012-2-17
Ragdoll,7,4,Calico,Male,2010-3-19
Ocicat,4,4,Red,Female,2019-3-25
Ragdoll,18,7,Sable,Male,2019-11-14
American Shorthair,16,7,Tabby,Female,2019-9-5
Turkish Angora,19,3,Gray,Male,2015-11-10
Ragdoll,10,7,Blue,Female,2014-10-10
Balinese,5,6,Gray,Male,2011-10-9
Himalayan,18,4,Red,Male,2016-11-19
American Shorthair,3,7,Pointed,Male,2023-11-17
Ocicat,4,5,Red,Female,2025-12-20
Turkish Angora,14,3,Brown,Male,2018-10-27
Oriental,12,4,Red,Male,2018-5-11
Singapura,14,5,Tricolor,Male,2013-4-15
Maine Coon,5,3,Calico,Male,2025-9-19
Bengal,18,2,Orange,Male,2015-12-6
Scottish Fold,7,2,Gray,Male,2010-1-15
Tonkinese,16,5,Bicolor,Female,2022-1-29
Savannah,3,2,Pointed,Male,2022-12-11
Birman,11,5,Black,Male,2017-1-19
Savannah,18,3,Brown,Female,2013-7-8
Siamese,6,4,Bicolor,Male,2019-11-17
Egyptian Mau,5,9,Sable,Female,2019-12-9
Devon Rex,5,3,Cream,Male,2017-3-24
Persian,16,5,Orange,Female,2011-5-19
Tonkinese,3,8,Brown,Male,2011-8-28
Persian,12,6,Red,Male,2015-12-2
British Shorthair,3,6,Bicolor,Female,2023-9-9
Egyptian Mau,2,9,Gray,Male,2020-6-30
Turkish Angora,15,8,Red,Male,2025-3-23
Scottish Fold,17,7,Gray,Female,2023-11-29
Egyptian Mau,12,7,White,Male,2010-9-14
Burmese,2,7,Tortoiseshell,Male,2013-3-30
Munchkin,2,5,Orange,Male,2018-1-11
Birman,14,2,Cream,Male,2020-1-16
Siberian,7,5,Gray,Male,2025-3-19
Burmese,14,9,Pointed,Female,2025-7-19
Exotic Shorthair,7,9,Brown,Female,2010-10-15
Siamese,17,7,Tricolor,Female,2014-12-23
Ragdoll,4,4,Pointed,Female,2021-5-3
Siamese,15,9,Pointed,Female,2022-6-2
Savannah,3,3,White,Female,2016-11-15
Siberian,6,5,Tricolor,Female,2024-4-22
Devon Rex,8,9,Pointed,Male,2019-7-15
Birman,16,7,Bicolor,Female,2017-10-22
Birman,15,8,Pointed,Female,2021-3-23
Egyptian Mau,4,4,Tricolor,Male,2022-9-20
Birman,8,6,Gray,Female,2015-6-1
Singapura,8,5,Orange,Female,2015-12-23
Siamese,7,2,Orange,Male,2017-9-7
Burmese,18,7,Blue,Male,2019-10-14
Balinese,12,5,Tabby,Female,2018-2-2
Ragdoll,4,7,Tabby,Female,2025-7-17
Russian Blue,14,6,Gray,Male,2021-3-7
Exotic Shorthair,5,7,Red,Male,2020-7-12
Turkish Angora,7,7,Sable,Male,2023-12-13
Persian,12,4,Orange,Male,2015-12-4
Bengal,15,5,Tricolor,Male,2022-1-3
Ragdoll,19,9,Tortoiseshell,Male,2019-5-8
Siberian,13,5,Sable,Male,2021-6-13
Savannah,4,7,Black,Male,2018-3-26
Munchkin,6,8,Bicolor,Male,2011-8-3
Tonkinese,8,2,Tortoiseshell,Female,2018-8-4
Siberian,15,5,Pointed,Female,2015-6-28
Manx,12,3,Black,Male,2024-1-16
Siberian,10,8,Black,Female,2023-6-25
Savannah,12,8,Black,Male,2010-9-21
Burmese,17,5,Orange,Male,2011-6-22
Devon Rex,8,4,Tricolor,Male,2017-4-1
Burmese,2,8,Tortoiseshell,Female,2010-5-26
Exotic Shorthair,19,3,Cream,Male,2014-2-20
Chartreux,1,2,Cream,Male,2025-5-4
Turkish Angora,10,4,Tabby,Female,2013-8-6
Manx,9,2,Pointed,Female,2011-2-27
Devon Rex,19,8,Brown,Female,2024-11-8
Munchkin,12,8,Bicolor,Female,2024-2-15
Manx,18,8,Black,Male,2010-12-23
Tonkinese,16,5,Red,Female,2015-1-12
Chartreux,4,5,White,Male,2025-1-20
Exotic Shorthair,11,5,Tricolor,Male,2019-2-15
Egyptian Mau,15,6,Tabby,Female,2016-3-8
Maine Coon,16,6,Tabby,Female,2012-4-28
Birman,2,9,Bicolor,Male,2022-5-8
Persian,13,6,Sable,Female,2025-11-5
Bengal,12,3,Black,Female,2010-10-28
Ocicat,8,6,Red,Male,2014-4-25
Ocicat,12,7,Sable,Female,2018-4-29
Manx,14,9,Blue,Female,2015-12-27
British Shorthair,3,7,Tortoiseshell,Male,2016-2-19
Chartreux,2,5,Red,Male,2023-5-2
Siberian,17,9,Bicolor,Female,2013-3-1
Abyssinian,2,5,Tabby,Female,2012-11-7
Burmese,17,2,Black,Male,2012-3-21
Burmese,2,4,Tricolor,Female,2024-9-18
Norwegian Forest,2,4,Tricolor,Male,2014-6-29
Oriental,13,3,Tabby,Female,2017-7-19
American Shorthair,7,4,Orange,Female,2013-2-4
Birman,9,9,Sable,Male,2015-11-25
Tonkinese,9,8,Calico,Male,2018-3-2
Norwegian Forest,14,3,Cream,Female,2018-10-26
Savannah,11,9,Brown,Female,2017-7-26
British Shorthair,19,2,Sable,Female,2016-1-1
Norwegian Forest,1,5,Tricolor,Female,2013-1-17
Exotic Shorthair,5,5,Tricolor,Male,2017-6-29
Manx,1,3,Tricolor,Male,2019-7-4
Maine Coon,6,6,Cream,Female,2025-4-28
Tonkinese,16,9,Orange,Female,2025-12-13
Russian Blue,16,2,White,Male,2018-10-23
Burmese,13,9,Pointed,Male,2016-7-19
Exotic Shorthair,14,9,Sable,Female,2013-6-9
Burmese,11,7,Sable,Female,2023-11-23
Ragdoll,10,5,Black,Male,2016-12-6
American Shorthair,17,5,Brown,Male,2012-12-27
Norwegian Forest,7,9,Cream,Male,2022-6-2
Ragdoll,4,8,Orange,Male,2018-8-16
Scottish Fold,17,2,Sable,Male,2015-5-10
Russian Blue,1,7,Brown,Female,2025-4-20
British Shorthair,2,7,Red,Female,2019-4-6
Ragdoll,19,3,Gray,Female,2020-7-11
Tonkinese,1,9,Cream,Female,2018-2-23
Exotic Shorthair,12,6,Bicolor,Female,2015-2-5
Sphynx,19,8,Blue,Male,2024-2-14
Cornish Rex,19,8,Orange,Male,2016-10-25
Savannah,16,3,Tabby,Male,2024-2-20
Persian,16,2,Calico,Male,2014-12-23
Savannah,8,4,Black,Female,2022-5-23
Birman,13,3,Bicolor,Female,2011-2-14
Balinese,14,4,Bicolor,Male,2011-5-23
Scottish Fold,19,8,Tricolor,Male,2014-8-25
Tonkinese,15,2,Black,Female,2022-12-5
Savannah,15,7,Brown,Female,2017-1-20
Sphynx,8,4,Blue,Male,2024-8-2
Exotic Shorthair,13,5,Tortoiseshell,Female,2024-7-11
Munchkin,12,9,Sable,Female,2013-10-8
Norwegian Forest,13,4,Sable,Female,2011-1-26
Birman,16,6,White,Female,2019-6-6
Siamese,12,6,Pointed,Female,2016-11-8
Ocicat,14,8,Cream,Male,2012-9-30
Egyptian Mau,15,2,Tabby,Male,2021-6-20
Manx,19,6,Cream,Female,2025-7-26
Cornish Rex,5,9,Brown,Female,2025-2-20
Chartreux,2,7,Gray,Male,2015-5-11
Egyptian Mau,18,7,Tricolor,Female,2016-8-28
Turkish Angora,18,8,Gray,Male,2019-6-6
Balinese,17,4,Tortoiseshell,Male,2022-11-18
Chartreux,10,8,Gray,Male,2012-5-12
Exotic Shorthair,17,9,Calico,Male,2023-11-7
Ragdoll,3,5,Pointed,Female,2019-10-30
Ragdoll,16,2,Cream,Male,2022-3-28
Abyssinian,18,9,Tortoiseshell,Male,2021-2-23
Oriental,7,3,Tricolor,Female,2019-4-15
Oriental,1,5,Tabby,Male,2015-3-7
Oriental,7,8,Cream,Male,2014-12-8
Cornish Rex,13,3,White,Female,2018-9-1
Ragdoll,16,2,Tortoiseshell,Male,2012-2-14
Turkish Angora,11,3,Calico,Female,2022-1-14
Singapura,3,5,Bicolor,Female,2014-11-4
American Shorthair,9,9,Sable,Female,2025-2-24
Russian Blue,7,6,Red,Female,2012-11-4
Ragdoll,3,8,Red,Male,2023-10-7
Oriental,1,2,White,Male,2013-9-20
Scottish Fold,11,6,Tabby,Male,2018-3-17
Ocicat,13,6,Tortoiseshell,Male,2024-7-11
Siberian,4,6,Black,Male,2022-1-3
Abyssinian,10,5,Tabby,Female,2012-3-8
Abyssinian,8,8,Orange,Female,2025-5-10
Exotic Shorthair,17,7,Blue,Female,2025-8-22
Chartreux,11,8,Black,Female,2021-12-16
Maine Coon,5,4,Tricolor,Male,2010-12-13
Russian Blue,18,6,Gray,Female,2012-8-6
Siamese,4,4,Gray,Female,2017-11-12
Siamese,6,2,Orange,Male,2013-9-11
Burmese,7,3,Bicolor,Male,2017-8-3
Maine Coon,12,6,White,Male,2014-6-17
Sphynx,3,7,Sable,Male,2011-12-10
Birman,8,4,Bicolor,Female,2019-4-22
Bengal,10,2,Black,Male,2016-12-19
Persian,1,5,Orange,Female,2010-10-29
Savannah,17,7,Blue,Male,2019-8-10
Siamese,18,8,Calico,Female,2022-10-17
Sphynx,9,7,Brown,Female,2018-5-29
Chartreux,16,2,Sable,Male,2022-11-13
Devon Rex,17,5,White,Male,2012-2-14
Birman,18,3,Brown,Female,2012-7-18
Exotic Shorthair,11,3,White,Female,2014-6-17
Maine Coon,18,7,Black,Male,2015-3-27
Himalayan,4,4,White,Female,2018-5-24
Devon Rex,8,9,Blue,Female,2016-2-10
Ragdoll,10,5,Orange,Female,2023-2-20
Burmese,4,5,Pointed,Female,2020-7-22
Ocicat,8,7,Orange,Male,2023-11-11
Birman,17,3,Tricolor,Male,2025-8-29
Balinese,3,7,Cream,Female,2020-10-19
Bengal,5,7,Tabby,Female,2014-4-17
Devon Rex,5,2,Gray,Male,2020-10-17
Manx,7,2,Blue,Male,2012-11-12
Ragdoll,1,4,Bicolor,Female,2013-9-21
Abyssinian,18,3,Black,Female,2018-1-14
Munchkin,6,8,Brown,Female,2025-4-1
Ragdoll,15,9,Pointed,Male,2011-2-27
American Shorthair,9,3,Tortoiseshell,Male,2023-3-19
Exotic Shorthair,3,6,Pointed,Female,2022-2-12
Himalayan,18,7,Pointed,Male,2022-7-29
Maine Coon,16,9,Black,Female,2010-3-11
American Shorthair,17,4,Red,Male,2011-1-8
Himalayan,9,3,Red,Female,2024-11-14
Exotic Shorthair,13,6,Tortoiseshell,Female,2017-7-1
Balinese,8,5,White,Female,2017-4-9
Exotic Shorthair,13,9,Orange,Male,2018-8-23
Siamese,1,8,Tabby,Female,2015-6-29
Sphynx,12,7,Calico,Female,2017-3-29
Sphynx,12,6,Tricolor,Female,2022-4-19
Russian Blue,9,3,Black,Male,2023-4-10
Russian Blue,1,2,Gray,Male,2010-6-30
Chartreux,14,4,Bicolor,Female,2019-12-27
Exotic Shorthair,14,5,Pointed,Male,2022-8-10
Siamese,6,8,Orange,Male,2023-11-23
Norwegian Forest,16,9,Bicolor,Female,2023-11-8
Ocicat,8,7,Blue,Female,2023-3-1
Chartreux,19,9,White,Female,2011-4-10
Abyssinian,5,2,Tortoiseshell,Male,2019-11-26
Abyssinian,15,4,Gray,Female,2016-10-7
Savannah,13,5,Gray,Male,2012-6-25
Tonkinese,6,5,Brown,Female,2016-7-13
Himalayan,17,7,Orange,Female,2020-9-14
British Shorthair,5,7,Orange,Male,2023-8-19
Abyssinian,10,3,Bicolor,Male,2022-8-16
American Shorthair,5,6,Pointed,Female,2012-6-17
Munchkin,17,7,Orange,Female,2011-8-2
Savannah,19,9,Tabby,Female,2011-1-16
Egyptian Mau,6,2,Cream,Female,2010-5-8
Himalayan,15,7,Calico,Male,2013-6-10
Oriental,4,9,Gray,Female,2011-1-20
Exotic Shorthair,17,6,Blue,Female,2022-12-27
Turkish Angora,1,9,Cream,Male,2013-9-6
Chartreux,18,3,Gray,Male,2016-7-7
Oriental,10,3,Gray,Female,2023-4-4
Manx,19,2,Red,Male,2013-1-19
American Shorthair,2,8,Black,Male,2013-11-22
Persian,17,5,Pointed,Male,2012-11-22
Ocicat,18,9,Pointed,Female,2024-12-9
Oriental,13,4,Tabby,Female,2018-12-26
Munchkin,7,8,Red,Female,2018-5-27
Savannah,5,5,Bicolor,Male,2014-9-23
Himalayan,4,6,Sable,Female,2011-4-7
Oriental,7,8,Orange,Male,2010-8-24
Singapura,5,7,Black,Female,2020-3-16
Persian,19,2,Tricolor,Female,2013-2-11
Tonkinese,7,8,Sable,Female,2022-8-14
Devon Rex,13,3,Bicolor,Male,2020-11-27
Scottish Fold,4,7,Sable,Male,2025-6-21
Bengal,15,5,Tricolor,Female,2023-7-12
Burmese,18,2,Cream,Female,2023-4-11
Balinese,4,4,Pointed,Female,2025-2-6
Ragdoll,4,7,Bicolor,Male,2022-5-24
Egyptian Mau,2,9,Gray,Male,2020-6-11
Birman,5,8,Tricolor,Female,2014-5-29
Burmese,8,3,Blue,Female,2010-8-17
Ocicat,11,5,Red,Female,2011-3-17
Exotic Shorthair,11,3,Black,Female,2024-4-23
Ocicat,18,9,Gray,Female,2016-8-23
Turkish Angora,19,9,Brown,Male,2016-12-27
Cornish Rex,17,6,Black,Female,2025-5-16
Persian,1,4,Red,Male,2013-5-23
Egyptian Mau,5,9,Black,Male,2021-3-21
Birman,3,7,Red,Female,2011-2-25
Abyssinian,14,4,Pointed,Female,2017-4-13
Cornish Rex,2,4,Brown,Female,2010-11-10
Siberian,3,8,Black,Female,2019-6-3
Singapura,3,6,Brown,Female,2015-4-11
Himalayan,13,5,Blue,Male,2024-2-10
Burmese,8,9,Sable,Male,2016-5-30
Balinese,14,9,Black,Female,2014-2-21
Cornish Rex,18,9,Pointed,Male,2015-4-19
Persian,13,7,Sable,Male,2025-5-28
Savannah,18,5,Calico,Female,2014-8-27
Munchkin,1,8,Gray,Male,2014-11-25
Bengal,2,5,Tortoiseshell,Male,2015-5-16
Manx,5,5,Pointed,Male,2025-5-5
Persian,11,9,Bicolor,Male,2016-6-18
Scottish Fold,11,5,Gray,Female,2017-9-7
Turkish Angora,1,2,Blue,Female,2014-4-20
Tonkinese,3,8,Blue,Female,2021-11-11
Munchkin,2,6,Blue,Female,2016-1-7
Balinese,14,4,Orange,Female,2016-6-2
American Shorthair,16,5,Bicolor,Male,2024-8-14
Bengal,18,5,Brown,Female,2023-3-1
Tonkinese,5,4,Cream,Male,2019-6-7
Ragdoll,8,4,Orange,Male,2021-10-15
Singapura,7,2,Bicolor,Female,2010-11-8
Egyptian Mau,10,6,Pointed,Female,2020-10-22
Abyssinian,16,3,Brown,Female,2018-6-18
Birman,19,7,Pointed,Female,2021-10-15
Exotic Shorthair,11,2,Black,Female,2020-8-4
Siberian,19,3,Tabby,Male,2012-3-21
Sphynx,3,2,Tricolor,Male,2023-10-30
Persian,18,6,White,Male,2023-4-6
Birman,4,6,Bicolor,Female,2020-9-5
Norwegian Forest,17,3,Cream,Male,2014-4-25
Norwegian Forest,13,8,Tortoiseshell,Female,2022-6-27
Chartreux,4,5,Tabby,Male,2019-10-10
Savannah,14,7,Tortoiseshell,Female,2024-1-25
Bengal,3,5,Cream,Male,2021-10-28
Abyssinian,4,5,Calico,Female,2025-2-22
Munchkin,18,8,Orange,Female,2016-12-8
Siberian,13,3,Sable,Male,2013-11-19
Singapura,7,5,Tabby,Male,2021-2-24
Scottish Fold,11,4,Black,Female,2017-8-2
Balinese,11,4,Tortoiseshell,Male,2021-4-12
Turkish Angora,6,6,Tortoiseshell,Male,2013-2-24
Himalayan,11,3,Sable,Male,2019-8-13
Ocicat,9,5,Blue,Male,2015-7-24
Egyptian Mau,16,4,White,Female,2020-1-7
Ragdoll,5,5,White,Male,2021-12-20
Oriental,6,7,Gray,Female,2022-3-9
American Shorthair,4,2,Black,Male,2019-11-15
Chartreux,8,5,Gray,Female,2019-3-5
Siamese,16,6,White,Male,2018-3-12
Egyptian Mau,16,8,Gray,Male,2020-7-11
Chartreux,11,2,Tortoiseshell,Female,2015-2-3
Singapura,14,9,Tricolor,Male,2013-6-8
Savannah,8,3,White,Male,2012-7-4
Cornish Rex,6,5,Orange,Female,2014-4-11
Munchkin,8,5,Red,Female,2025-4-20
Munchkin,19,2,Bicolor,Female,2025-8-4
American Shorthair,8,6,Blue,Female,2020-4-22
Siberian,1,9,Orange,Female,2019-6-11
Cornish Rex,13,6,Cream,Female,2024-5-12
Maine Coon,8,6,Blue,Male,2016-4-7
British Shorthair,9,7,Black,Male,2017-9-30
Scottish Fold,16,3,Orange,Male,2016-8-24
Chartreux,5,8,Tortoiseshell,Male,2019-5-19
Devon Rex,11,9,Tabby,Male,2014-7-4
Ocicat,17,2,Gray,Male,2020-3-1
Devon Rex,9,9,Red,Male,2022-7-25
Singapura,17,8,Black,Female,2015-6-14
Munchkin,15,4,Black,Male,2019-5-10
Ragdoll,1,3,Calico,Female,2015-4-1
Singapura,16,6,Gray,Male,2022-1-7
Himalayan,13,6,Blue,Female,2012-5-13
Scottish Fold,3,5,Cream,Male,2010-8-16
Oriental,14,7,Sable,Male,2025-8-19
Russian Blue,3,7,Red,Male,2021-1-25
Siberian,18,3,Gray,Female,2024-9-24
Manx,14,2,Tortoiseshell,Male,2019-12-28
British Shorthair,17,8,Brown,Male,2019-11-23
British Shorthair,6,8,Calico,Female,2013-5-11
Abyssinian,8,6,White,Male,2023-9-5
Birman,2,4,Gray,Male,2018-10-1
Siberian,18,5,Pointed,Male,2011-9-26
Burmese,3,2,Calico,Male,2011-9-27
Abyssinian,2,2,Tricolor,Male,2014-12-5
Devon Rex,5,7,Tortoiseshell,Female,2013-10-13
Burmese,9,2,Gray,Male,2024-11-4
Tonkinese,19,9,Sable,Male,2025-9-10
Burmese,2,7,Tricolor,Male,2021-8-10
Norwegian Forest,4,7,Cream,Male,2015-6-19
Manx,17,8,White,Female,2024-6-19
Birman,4,7,Brown,Female,2021-2-7
Ragdoll,6,9,Bicolor,Female,2025-7-27
British Shorthair,2,5,Tricolor,Male,2011-4-7
Himalayan,4,4,Tricolor,Female,2016-6-4
Abyssinian,8,6,Blue,Female,2015-2-7
Balinese,2,5,Pointed,Male,2017-3-26
Manx,2,5,Gray,Male,2012-2-24
Siamese,8,4,Brown,Female,2011-1-1
Munchkin,5,8,Tortoiseshell,Male,2021-5-19
Devon Rex,14,8,Pointed,Female,2017-11-11
Burmese,13,2,Cream,Female,2022-11-27
American Shorthair,19,6,Gray,Female,2017-1-20
Siberian,1,3,Cream,Female,2018-7-18
Cornish Rex,12,9,Sable,Male,2017-7-14
Burmese,3,2,Tricolor,Male,2025-3-17
Bengal,14,7,White,Male,2016-7-28
Bengal,5,2,Tabby,Male,2014-2-12
Russian Blue,17,4,Bicolor,Female,2018-12-27
Himalayan,17,3,White,Female,2022-7-24
Cornish Rex,11,6,Bicolor,Female,2023-7-15
Tonkinese,12,6,Cream,Female,2025-2-21
Manx,4,9,Tabby,Female,2024-11-5
Balinese,9,6,Bicolor,Female,2021-3-3
Maine Coon,15,9,Calico,Male,2015-6-15
Sphynx,1,4,Tabby,Female,2010-1-15
Manx,1,7,Tortoiseshell,Female,2015-9-13
Cornish Rex,3,3,Gray,Male,2025-7-22
Ocicat,12,3,Brown,Male,2011-5-2
Exotic Shorthair,6,2,Brown,Female,2011-7-13
Maine Coon,3,7,Orange,Male,2014-11-3
Egyptian Mau,8,5,Red,Female,2025-4-10
Chartreux,13,3,Calico,Male,2010-6-7
Cornish Rex,12,6,Calico,Male,2011-9-24
Egyptian Mau,2,6,Cream,Male,2025-6-25
Tonkinese,17,5,Cream,Male,2010-12-5
Tonkinese,19,5,Pointed,Male,2013-8-25
Abyssinian,19,2,Gray,Male,2020-2-1
Oriental,15,2,Bicolor,Male,2010-2-24
Himalayan,16,8,Red,Male,2022-5-29
Oriental,16,4,Blue,Male,2019-5-24
Tonkinese,6,7,Black,Female,2011-4-4
Persian,2,8,Calico,Female,2014-5-26
Egyptian Mau,11,6,Sable,Female,2011-11-10
Burmese,3,4,Cream,Male,2019-2-6
Bengal,9,6,Tricolor,Female,2021-6-23
Himalayan,16,4,Cream,Male,2018-12-22
Balinese,8,9,Gray,Male,2014-8-24
Chartreux,13,2,Pointed,Male,2020-5-17
Devon Rex,4,3,Calico,Male,2023-6-17
Ragdoll,2,7,Tabby,Female,2013-12-28
Scottish Fold,17,8,Sable,Male,2021-3-19
Maine Coon,18,5,Tabby,Male,2015-12-4
Balinese,17,6,Red,Female,2020-6-3
Bengal,6,7,Orange,Male,2018-7-12
Bengal,11,2,Red,Female,2022-7-5
